measurement_id,electrode,x_position,y_position,z_position,measurement_duration
IMG_3841,NAS,3.0864,93.3763,-6.2494,
IMG_3841,LPA,-80.25,0.0,-0.0,
IMG_3841,RPA,80.25,-0.0,0.0,
IMG_3841,INION,-0.0,-98.9025,-6.2494,
IMG_3841,E0,29.2542,94.2293,29.15,
IMG_3841,E1,-32.0688,90.2183,28.4654,
IMG_3841,E2,-67.3695,48.084,20.4992,
IMG_3841,E3,-80.8363,0.5502,13.884,
IMG_3841,E4,-59.9669,-17.3212,71.1326,
IMG_3841,E5,-71.4512,-39.1478,33.5086,
IMG_3841,E6,-77.0164,-24.8348,-37.2514,
IMG_3841,E7,-50.4138,-72.2476,42.881,
IMG_3841,E8,-32.7269,-51.8188,81.4574,
IMG_3841,E9,-0.8191,-51.3119,86.928,
IMG_3841,E10,-28.8866,-84.9211,-9.2256,
IMG_3841,E11,1.2946,-77.8285,63.1582,
IMG_3841,E12,-0.0649,-17.8625,98.5128,
IMG_3841,E13,-35.1214,18.1172,86.3648,
IMG_3841,E14,26.5293,17.5462,87.1104,
IMG_3841,E15,25.6193,-50.814,73.601,
IMG_3841,E16,58.5568,-10.1155,72.5226,
IMG_3841,E17,45.77,-70.1681,42.2086,
IMG_3841,E18,21.5459,-84.7132,-11.5543,
IMG_3841,E19,69.5724,-39.0618,32.719,
IMG_3841,E20,74.7744,-31.2975,-34.2762,
IMG_3841,E21,80.618,1.3027,17.1892,
IMG_3841,E22,68.8514,51.2046,24.8827,
IMG_3841,E23,-4.3582,51.6115,81.6318,
IMG_3842,NAS,-2.1566,95.4237,-6.25,
IMG_3842,LPA,-80.25,-0.0,-0.0,
IMG_3842,RPA,80.25,-0.0,-0.0,
IMG_3842,INION,-0.0,-101.0341,-6.25,
IMG_3842,E0,26.6138,96.1891,29.712,
IMG_3842,E1,-37.3295,89.7661,28.9419,
IMG_3842,E2,66.446,54.4923,24.7047,
IMG_3842,E3,79.7008,2.329,17.1005,
IMG_3842,E4,30.293,20.3898,96.5192,
IMG_3842,E5,60.2822,-11.0588,75.9529,
IMG_3842,E6,74.1311,-39.8335,38.6363,
IMG_3842,E7,72.8877,-28.0812,-38.7334,
IMG_3842,E8,34.1665,-51.8176,85.6916,
IMG_3842,E9,48.0972,-72.7019,44.168,
IMG_3842,E10,26.342,-88.5531,-2.0095,
IMG_3842,E11,2.2518,-80.507,69.8717,
IMG_3842,E12,3.1021,-53.1046,94.7407,
IMG_3842,E13,-31.1894,-53.6119,88.2252,
IMG_3842,E14,-47.9751,-76.3401,46.4074,
IMG_3842,E15,-28.8313,-93.1371,0.4564,
IMG_3842,E16,-58.955,-17.1482,76.644,
IMG_3842,E17,-71.4098,-42.5105,38.798,
IMG_3842,E18,-79.4236,-27.8133,-34.1849,
IMG_3842,E19,-30.8282,18.1126,97.1459,
IMG_3842,E20,-70.3365,46.5388,24.4134,
IMG_3842,E21,-82.6709,-1.8458,16.2928,
IMG_3842,E22,0.1307,54.2796,90.3178,
IMG_3842,E23,2.7794,-17.1322,104.4694,
IMG_3843,NAS,2.1986,93.5439,-6.2495,
IMG_3843,LPA,-80.25,-0.0,-0.0,
IMG_3843,RPA,80.25,0.0,0.0,
IMG_3843,INION,0.0,-99.077,-6.2495,
IMG_3843,E0,28.2833,93.9439,28.4445,
IMG_3843,E1,-33.1081,88.4614,27.386,
IMG_3843,E2,-66.3017,45.8378,18.701,
IMG_3843,E3,-79.5839,-0.865,11.9571,
IMG_3843,E4,-59.2174,-16.2671,72.4698,
IMG_3843,E5,-70.309,-39.5783,35.3334,
IMG_3843,E6,-66.0233,-26.0916,-50.5592,
IMG_3843,E7,-48.5887,-73.3783,43.1946,
IMG_3843,E8,-32.4488,-50.889,86.7229,
IMG_3843,E9,-1.8216,-13.5018,100.8284,
IMG_3843,E10,0.4946,-47.8448,92.1604,
IMG_3843,E11,-28.111,-87.6535,-3.5576,
IMG_3843,E12,-0.4204,-77.4385,68.3062,
IMG_3843,E13,28.8372,-84.3671,-2.256,
IMG_3843,E14,48.7041,-69.2003,47.4962,
IMG_3843,E15,73.3684,-37.623,38.8859,
IMG_3843,E16,36.9188,-49.7238,87.0477,
IMG_3843,E17,61.1398,-8.6655,75.4898,
IMG_3843,E18,75.7488,-26.9415,-37.7732,
IMG_3843,E19,81.6569,3.5727,19.1419,
IMG_3843,E20,30.8546,24.7973,94.9185,
IMG_3843,E21,67.9962,53.5522,22.7482,
IMG_3843,E22,-3.8364,52.6996,86.7242,
IMG_3845,NAS,1.0934,94.8762,-6.2499,
IMG_3845,LPA,-80.25,-0.0,-0.0,
IMG_3845,RPA,80.25,-0.0,-0.0,
IMG_3845,INION,0.0,-100.464,-6.2499,
IMG_3845,E0,28.1358,94.7437,29.1593,
IMG_3845,E1,-35.5372,89.104,28.4579,
IMG_3845,E2,67.9292,53.1764,26.7733,
IMG_3845,E3,81.26,2.5519,18.6566,
IMG_3845,E4,60.6187,-10.7128,75.5231,
IMG_3845,E5,31.8663,21.9373,95.9125,
IMG_3845,E6,72.0499,-40.2699,36.2794,
IMG_3845,E7,66.4317,-34.9087,-54.2392,
IMG_3845,E8,3.0248,-15.9467,104.5055,
IMG_3845,E9,35.4131,-50.1835,86.8537,
IMG_3845,E10,48.8157,-70.5089,44.5308,
IMG_3845,E11,27.8642,-86.208,-1.5941,
IMG_3845,E12,2.811,-77.5197,69.7319,
IMG_3845,E13,3.7226,-49.2226,95.1459,
