epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.011,1.95318,2.24176,1.00267,0.88854,0.67641,0.78185,0.3642,1.77244,1.4904,0.98042,0.00038,0.00038,0.00038
2,210.869,1.88211,1.33505,1.00489,0.90165,0.69697,0.78699,0.37377,1.75931,1.09102,0.98621,0.000764556,0.000764556,0.000764556
3,313.996,1.85709,1.1109,1.03447,0.83879,0.66061,0.75489,0.30003,2.076,1.33159,1.05974,0.00113327,0.00113327,0.00113327
4,414.666,1.90322,1.16351,1.05287,0.72651,0.62424,0.68203,0.24085,2.0817,1.57616,1.09159,0.00148615,0.00148615,0.00148615
5,515.086,1.8546,1.09226,1.03396,0.76773,0.60606,0.67313,0.26487,2.03365,1.32805,1.10919,0.00182318,0.00182318,0.00182318
6,614.551,1.76274,1.01885,1.01405,0.83685,0.72121,0.81527,0.37574,1.76685,0.93512,1.00631,0.001802,0.001802,0.001802
7,713.489,1.77202,0.99377,1.0189,0.67711,0.53939,0.55062,0.16,2.52877,1.2168,1.21439,0.0017624,0.0017624,0.0017624
8,813.144,1.82683,1.02771,1.02363,0.86534,0.74,0.80079,0.33219,1.96762,1.01766,1.05947,0.0017228,0.0017228,0.0017228
9,932.84,1.77237,0.98512,1.00849,0.91543,0.73939,0.8294,0.34492,1.91197,0.97776,1.0392,0.0016832,0.0016832,0.0016832
10,1031.8,1.73535,0.94018,1.00271,0.85021,0.75682,0.80884,0.33556,1.9391,0.953,1.04608,0.0016436,0.0016436,0.0016436
11,1130.94,1.73795,0.93612,1.00209,0.88657,0.77576,0.84078,0.38428,1.84761,0.89846,1.02266,0.001604,0.001604,0.001604
12,1231.16,1.67872,0.88798,0.98272,0.92751,0.7697,0.8764,0.4249,1.67039,0.83132,0.98001,0.0015644,0.0015644,0.0015644
13,1352.5,1.65812,0.87564,0.99,0.89295,0.80886,0.86561,0.41689,1.70275,0.83949,0.99039,0.0015248,0.0015248,0.0015248
14,1470.26,1.66243,0.86365,0.98244,0.86969,0.80897,0.87181,0.42315,1.71643,0.84625,0.9881,0.0014852,0.0014852,0.0014852
15,1585.63,1.64414,0.85089,0.98042,0.87516,0.72121,0.82992,0.38532,1.74609,0.85991,0.99579,0.0014456,0.0014456,0.0014456
16,1705.41,1.62325,0.83343,0.97722,0.90779,0.77564,0.85641,0.39623,1.79513,0.86273,1.00949,0.001406,0.001406,0.001406
17,1804.59,1.61833,0.8151,0.97679,0.86678,0.75758,0.83675,0.40372,1.7637,0.84366,1.00501,0.0013664,0.0013664,0.0013664
18,1904.54,1.61226,0.80905,0.97691,0.92776,0.77838,0.87458,0.4084,1.73516,0.81888,0.9943,0.0013268,0.0013268,0.0013268
19,2012.46,1.63756,0.82466,0.97922,0.88937,0.73333,0.82264,0.39931,1.74579,0.85667,0.9894,0.0012872,0.0012872,0.0012872
20,2131.2,1.63489,0.82343,0.98155,0.8737,0.77576,0.84436,0.42087,1.71014,0.79697,0.97956,0.0012476,0.0012476,0.0012476
21,2244.58,1.59433,0.78417,0.97289,0.88003,0.80022,0.86869,0.40922,1.74857,0.78398,0.98984,0.001208,0.001208,0.001208
22,2346.23,1.55932,0.76314,0.95075,0.89963,0.81818,0.88525,0.40852,1.77072,0.77882,0.99961,0.0011684,0.0011684,0.0011684
23,2450.83,1.53442,0.75447,0.96072,0.87672,0.8,0.86432,0.39671,1.77782,0.77587,0.99697,0.0011288,0.0011288,0.0011288
24,2562.91,1.56357,0.75478,0.97178,0.88955,0.78096,0.82896,0.38117,1.79344,0.80594,1.01333,0.0010892,0.0010892,0.0010892
25,2672.43,1.59341,0.76833,0.97119,0.85688,0.78788,0.85388,0.39215,1.83036,0.78032,1.02087,0.0010496,0.0010496,0.0010496
26,2774.77,1.55507,0.75939,0.95601,0.91825,0.81692,0.87056,0.40496,1.83265,0.77741,1.01269,0.00101,0.00101,0.00101
27,2896,1.50768,0.72089,0.9479,0.89984,0.74545,0.81785,0.36437,1.93464,0.79967,1.03997,0.0009704,0.0009704,0.0009704
28,2999.16,1.51405,0.72594,0.94863,0.88307,0.82384,0.86234,0.37625,1.87428,0.7917,1.02358,0.0009308,0.0009308,0.0009308
29,3098.85,1.52911,0.72767,0.9594,0.90316,0.79129,0.86507,0.41236,1.75395,0.76066,1.0004,0.0008912,0.0008912,0.0008912
30,3201.12,1.53673,0.73398,0.94928,0.90131,0.78788,0.87623,0.39957,1.76549,0.78074,1.00139,0.0008516,0.0008516,0.0008516
31,3300.77,1.55169,0.72795,0.95213,0.84661,0.80282,0.84136,0.38644,1.90192,0.78102,1.03239,0.000812,0.000812,0.000812
32,3399.76,1.48225,0.7124,0.94206,0.91764,0.79394,0.88451,0.41623,1.7464,0.74556,0.99635,0.0007724,0.0007724,0.0007724
33,3498.84,1.48304,0.69865,0.95436,0.88324,0.78182,0.84819,0.40999,1.76857,0.75619,0.99503,0.0007328,0.0007328,0.0007328
34,3597.31,1.48234,0.69877,0.94346,0.91692,0.78182,0.86254,0.39108,1.88368,0.77062,1.03024,0.0006932,0.0006932,0.0006932
35,3696.42,1.48236,0.69458,0.94018,0.85973,0.72121,0.80932,0.35332,1.96145,0.78515,1.04543,0.0006536,0.0006536,0.0006536
36,3795.37,1.44848,0.67436,0.93477,0.9037,0.78788,0.86648,0.41207,1.78209,0.73001,1.00509,0.000614,0.000614,0.000614
37,3895.02,1.41974,0.67053,0.93367,0.87415,0.83636,0.87035,0.41432,1.78009,0.73237,1.00195,0.0005744,0.0005744,0.0005744
38,3995.05,1.4169,0.65884,0.92346,0.91794,0.73939,0.85283,0.40753,1.80816,0.72677,1.01252,0.0005348,0.0005348,0.0005348
39,4095.34,1.41526,0.66359,0.92496,0.86149,0.8303,0.86673,0.4092,1.8187,0.73415,1.01079,0.0004952,0.0004952,0.0004952
40,4196.11,1.39191,0.64806,0.92278,0.93964,0.75473,0.87636,0.42023,1.76961,0.72412,1.00254,0.0004556,0.0004556,0.0004556
41,4290.54,1.39119,0.67575,0.94964,0.94873,0.75152,0.88077,0.42265,1.77677,0.73829,1.00146,0.000416,0.000416,0.000416
42,4386.04,1.3585,0.64736,0.9351,0.88707,0.8,0.87973,0.42497,1.77343,0.73448,1.00038,0.0003764,0.0003764,0.0003764
43,4483.67,1.35592,0.63817,0.9379,0.87182,0.80606,0.87305,0.41819,1.75301,0.75087,1.00005,0.0003368,0.0003368,0.0003368
44,4577.8,1.34976,0.631,0.94662,0.88547,0.8303,0.88821,0.436,1.7346,0.7264,0.99502,0.0002972,0.0002972,0.0002972
45,4671.65,1.31957,0.61895,0.93846,0.92785,0.80606,0.87584,0.41412,1.815,0.72697,1.01145,0.0002576,0.0002576,0.0002576
46,4764.83,1.28718,0.6024,0.9205,0.93553,0.81818,0.8804,0.42472,1.79025,0.72126,1.00548,0.000218,0.000218,0.000218
47,4858.21,1.26876,0.59002,0.93216,0.91548,0.81818,0.88544,0.42306,1.784,0.73177,1.00283,0.0001784,0.0001784,0.0001784
48,4952.91,1.27157,0.59739,0.92168,0.92735,0.82424,0.87431,0.41239,1.83368,0.72744,1.01671,0.0001388,0.0001388,0.0001388
49,5047.42,1.2581,0.59303,0.91971,0.90143,0.82424,0.8778,0.42069,1.79097,0.7231,1.00525,9.92e-05,9.92e-05,9.92e-05
50,5141.03,1.25724,0.5933,0.91703,0.93012,0.80666,0.87778,0.41071,1.80847,0.71823,1.01095,5.96e-05,5.96e-05,5.96e-05
