epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.129,2.11862,2.01431,1.39815,0.82651,0.61818,0.71527,0.35545,1.83083,1.36296,1.31432,0.00065,0.00065,0.00065
2,978.21,1.85235,1.15936,1.27899,0.62793,0.46667,0.45366,0.1635,2.24017,1.59234,1.6193,0.00130363,0.00130363,0.00130363
3,1485.82,1.88729,1.13762,1.29225,0.06471,0.51515,0.04632,0.01933,2.06519,15.1886,1.44179,0.00194406,0.00194406,0.00194406
4,1947.35,1.85515,1.10081,1.32098,0.0374,0.29091,0.02154,0.01051,2.39895,35.3402,2.90056,0.0019406,0.0019406,0.0019406
5,2476.72,1.79077,0.98267,1.23738,0.85454,0.72727,0.81398,0.40249,1.77929,1.01082,1.26105,0.0019208,0.0019208,0.0019208
6,3024.6,1.74942,0.94685,1.19645,0.92038,0.72727,0.82269,0.40364,1.82487,0.9075,1.27226,0.001901,0.001901,0.001901
7,3660.39,1.71667,0.86125,1.20059,0.83625,0.67879,0.74636,0.32426,2.06479,0.94045,1.37223,0.0018812,0.0018812,0.0018812
8,4250.51,1.71421,0.85316,1.20535,0.92403,0.81085,0.88738,0.44305,1.71053,0.79342,1.19873,0.0018614,0.0018614,0.0018614
9,4901.22,1.69297,0.85287,1.17032,0.94729,0.78182,0.86632,0.43293,1.78168,0.8262,1.24724,0.0018416,0.0018416,0.0018416
10,5512.62,1.6456,0.79874,1.16277,0.91088,0.81212,0.89041,0.44676,1.7747,0.79651,1.24734,0.0018218,0.0018218,0.0018218
11,8416.71,1.65285,0.78649,1.17377,0.93163,0.82581,0.90876,0.43919,1.74213,0.75355,1.22012,0.001802,0.001802,0.001802
12,8892.02,1.62327,0.7443,1.13663,0.90942,0.8,0.89082,0.43833,1.81758,0.80246,1.25118,0.0017822,0.0017822,0.0017822
13,9415.85,1.64056,0.77546,1.16026,0.92306,0.79982,0.89364,0.44777,1.72925,0.76087,1.22119,0.0017624,0.0017624,0.0017624
14,9911.51,1.70111,0.777,1.17626,0.9173,0.81818,0.89424,0.45727,1.757,0.77022,1.21061,0.0017426,0.0017426,0.0017426
15,10405.7,1.58266,0.73661,1.12662,0.94079,0.81818,0.90459,0.45074,1.72043,0.72994,1.20308,0.0017228,0.0017228,0.0017228
16,10894.1,1.53707,0.69452,1.11955,0.94349,0.86061,0.94413,0.46014,1.74181,0.69849,1.20817,0.001703,0.001703,0.001703
17,11399.9,1.5417,0.69521,1.11679,0.9063,0.81818,0.89964,0.46052,1.73119,0.727,1.2079,0.0016832,0.0016832,0.0016832
18,11896.9,1.51123,0.66324,1.10893,0.94341,0.8083,0.90469,0.44231,1.7793,0.70984,1.23242,0.0016634,0.0016634,0.0016634
19,12381.6,1.54116,0.67372,1.11262,0.94097,0.7729,0.86811,0.42837,1.85096,0.72925,1.27571,0.0016436,0.0016436,0.0016436
20,12879.4,1.52849,0.69089,1.12147,0.91949,0.80606,0.89039,0.41975,1.86001,0.75109,1.26219,0.0016238,0.0016238,0.0016238
21,13366.2,1.50197,0.6675,1.10354,0.9023,0.87879,0.92144,0.44384,1.82824,0.71179,1.24265,0.001604,0.001604,0.001604
22,13849.4,1.47212,0.6424,1.0699,0.9355,0.82424,0.89874,0.44866,1.81136,0.71689,1.22467,0.0015842,0.0015842,0.0015842
23,14347.8,1.48977,0.64666,1.10777,0.88574,0.89266,0.92801,0.45552,1.75004,0.72347,1.20613,0.0015644,0.0015644,0.0015644
24,14841.4,1.52442,0.66083,1.10978,0.95531,0.77724,0.88185,0.41504,1.85074,0.75773,1.25161,0.0015446,0.0015446,0.0015446
25,15334.6,1.44813,0.62352,1.09021,0.93594,0.79694,0.88657,0.43718,1.81182,0.71529,1.23036,0.0015248,0.0015248,0.0015248
26,15826.6,1.43881,0.62959,1.06731,0.93566,0.7697,0.87613,0.44262,1.8181,0.76675,1.23639,0.001505,0.001505,0.001505
27,16311,1.41038,0.60349,1.0527,0.94351,0.80986,0.87585,0.42923,1.83163,0.7481,1.24357,0.0014852,0.0014852,0.0014852
28,16796.2,1.43095,0.61381,1.07612,0.97142,0.82424,0.90848,0.40022,1.94994,0.72999,1.31595,0.0014654,0.0014654,0.0014654
29,17279.5,1.43178,0.61503,1.08765,0.95245,0.81212,0.90935,0.45384,1.77524,0.70315,1.22418,0.0014456,0.0014456,0.0014456
30,17767.2,1.44435,0.61821,1.06569,0.95755,0.82029,0.91388,0.46592,1.73709,0.69025,1.20809,0.0014258,0.0014258,0.0014258
31,18252.5,1.40542,0.60493,1.06029,0.92756,0.84242,0.90836,0.4605,1.73717,0.6749,1.22003,0.001406,0.001406,0.001406
